quxian_url,shangquan,start_url
http://fangjia.fang.com/pghouse-c0sh/a019-h315/,田林,http://fangjia.fang.com//pghouse-c0sh/a019-b01613-h315/
http://fangjia.fang.com/pghouse-c0sh/a019-h315/,万体馆,http://fangjia.fang.com//pghouse-c0sh/a019-b01610-h315/
http://fangjia.fang.com/pghouse-c0sh/a019-h315/,斜土路,http://fangjia.fang.com//pghouse-c0sh/a019-b01612-h315/
http://fangjia.fang.com/pghouse-c0sh/a019-h315/,徐汇滨江,http://fangjia.fang.com//pghouse-c0sh/a019-b05247-h315/
http://fangjia.fang.com/pghouse-c0sh/a019-h315/,徐家汇,http://fangjia.fang.com//pghouse-c0sh/a019-b0103-h315/
http://fangjia.fang.com/pghouse-c0sh/a019-h315/,植物园,http://fangjia.fang.com//pghouse-c0sh/a019-b02767-h315/
http://fangjia.fang.com/pghouse-c0sh/a029-h315/,安亭,http://fangjia.fang.com//pghouse-c0sh/a029-b05262-h315/
http://fangjia.fang.com/pghouse-c0sh/a029-h315/,丰庄,http://fangjia.fang.com//pghouse-c0sh/a029-b05261-h315/
http://fangjia.fang.com/pghouse-c0sh/a029-h315/,嘉定城区,http://fangjia.fang.com//pghouse-c0sh/a029-b02079-h315/
http://fangjia.fang.com/pghouse-c0sh/a029-h315/,江桥,http://fangjia.fang.com//pghouse-c0sh/a029-b05260-h315/
http://fangjia.fang.com/pghouse-c0sh/a029-h315/,菊园新区,http://fangjia.fang.com//pghouse-c0sh/a029-b012921-h315/
http://fangjia.fang.com/pghouse-c0sh/a029-h315/,嘉定新城,http://fangjia.fang.com//pghouse-c0sh/a029-b010285-h315/
http://fangjia.fang.com/pghouse-c0sh/a029-h315/,马陆,http://fangjia.fang.com//pghouse-c0sh/a029-b015659-h315/
http://fangjia.fang.com/pghouse-c0sh/a029-h315/,南翔,http://fangjia.fang.com//pghouse-c0sh/a029-b01669-h315/
http://fangjia.fang.com/pghouse-c0sh/a0586-h315/,九亭,http://fangjia.fang.com//pghouse-c0sh/a0586-b01702-h315/
http://fangjia.fang.com/pghouse-c0sh/a0586-h315/,佘山,http://fangjia.fang.com//pghouse-c0sh/a0586-b05264-h315/
http://fangjia.fang.com/pghouse-c0sh/a0586-h315/,泗泾,http://fangjia.fang.com//pghouse-c0sh/a0586-b01708-h315/
http://fangjia.fang.com/pghouse-c0sh/a0586-h315/,松江老城,http://fangjia.fang.com//pghouse-c0sh/a0586-b010656-h315/
http://fangjia.fang.com/pghouse-c0sh/a0586-h315/,松江新城,http://fangjia.fang.com//pghouse-c0sh/a0586-b01703-h315/
http://fangjia.fang.com/pghouse-c0sh/a0586-h315/,莘闵别墅,http://fangjia.fang.com//pghouse-c0sh/a0586-b01709-h315/
http://fangjia.fang.com/pghouse-c0sh/a0586-h315/,松江大学城,http://fangjia.fang.com//pghouse-c0sh/a0586-b015489-h315/
http://fangjia.fang.com/pghouse-c0sh/a0586-h315/,新桥,http://fangjia.fang.com//pghouse-c0sh/a0586-b01707-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,北蔡,http://fangjia.fang.com//pghouse-c0sh/a025-b01646-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,碧云,http://fangjia.fang.com//pghouse-c0sh/a025-b01639-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,川沙,http://fangjia.fang.com//pghouse-c0sh/a025-b05278-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,曹路,http://fangjia.fang.com//pghouse-c0sh/a025-b05235-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,高行,http://fangjia.fang.com//pghouse-c0sh/a025-b010315-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,惠南,http://fangjia.fang.com//pghouse-c0sh/a025-b05929-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,航头,http://fangjia.fang.com//pghouse-c0sh/a025-b05920-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,花木,http://fangjia.fang.com//pghouse-c0sh/a025-b01635-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,金桥,http://fangjia.fang.com//pghouse-c0sh/a025-b01636-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,金杨,http://fangjia.fang.com//pghouse-c0sh/a025-b07366-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,康桥,http://fangjia.fang.com//pghouse-c0sh/a025-b05934-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,联洋,http://fangjia.fang.com//pghouse-c0sh/a025-b01638-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,临港新城,http://fangjia.fang.com//pghouse-c0sh/a025-b05928-h315/
